year,control,o3_24dic,pm10_24dic,o3_15sep,pm10_15sep,o3_28oct,pm10_28oct,o3_10may,pm10_10may,o3_31dic,pm10_31dic,o3_14feb,pm10_14feb
2003,1,40.7234,48.84397,51.85106,26.97872,40.55319,38.28369,65.64539,71.61702,40.91489,46.56738,53.20567,42.30497
2004,1,21.55319,40.67376,31.7766,21.43972,40.80851,35.81561,42.64539,25.85816,36.24113,41.13475,35.84397,43.70213
2005,1,23.92199,40.8156,41.58511,28.50355,30.13475,36.4539,48.76596,32.78724,43.22695,47.68794,41.67376,35.36879
2006,1,22.69503,34.11348,21.3617,17.52482,34.29078,23.90071,54.15603,27.87943,16.59575,37.12766,29.59575,34.37589
2007,1,44.97163,38.44681,39.26596,22.32624,29.53191,30.50355,40.24823,29.8156,35.21986,35.73759,36.9078,26.46808
2008,1,34.2766,31.75177,44.96809,22.55319,26.97163,22.31915,61.74468,51.49645,27.39007,23.5461,25.91489,33.9078
2009,1,27.52482,38.59575,33.25532,12.39716,17.10638,11.97872,34.30496,54.55319,24.2766,31.91489,50.69503,51.76596
2010,1,30.0922,47.56738,21.11702,18.14894,45.87234,45.75887,49.35461,54.14894,24.82269,56.00709,26.01418,26.34043
2011,1,30.70213,36.30496,30.39362,22.04964,35.84397,36.69503,28.84397,30.21277,36.94326,34.09929,24.09929,28.49645
2012,1,43.15603,46.97163,35.78723,22.48227,35.49646,35.43972,48.7234,38.62411,34.4539,63.5461,13.00709,18.87943
2003,2,54.1383,48.59575,34.69503,26.71631,39.7234,40.19858,46.89362,62.78724,35.74468,31.17021,45.82979,35.15603
2004,2,35.95745,34,32.98582,21.68794,48.25532,34.16312,51.65248,30.60993,36.32979,49.8617,24.87234,35.63121
2005,2,40.19149,49.35107,33.58865,19.32624,31.84397,22.82979,45.04255,35.97872,37.24468,35.2234,40.29787,54.00709
2006,2,29.75532,35.95745,32.93617,18.86525,32.74468,28.5461,35.1844,24.36879,37.78723,42.92553,37.24823,39.1773
2007,2,27.44681,34.67021,42.41135,32.34042,31.23404,26.26241,32.69503,27.42553,20.17021,29.67021,30.76596,36.51064
2008,2,25.94681,27.02128,22.51773,17.91489,31.46099,26.35461,47.68085,44.69503,23.69149,38.26596,34.32624,36.7305
2009,2,23.84043,24.55319,32.31915,13.97872,18.07801,15.58156,43.68085,35.66667,36.8617,32.79787,50.05674,41.74468
2010,2,39.20213,39.10638,15.46808,13.31915,26.96454,22.97872,45.6383,39.12057,17.44681,24.32979,19.49645,25.31915
2011,2,32.37234,32.52128,31.70213,18.4539,27.60284,25.46808,39.32624,36.33334,32.57447,30.42553,19.87943,35.84397
2012,2,32.96809,49.08511,35.80851,21.4539,29.36879,30.88652,40.20567,28.6383,18.32979,16.91489,18.58156,22.8156
2003,3,8.24468,77.10638,4.446808,14.5,29.7234,33.08511,73.10638,75.76596,8.010638,48.5,35.82979,85.25532
2004,3,5.212766,13.5,8.563829,17.02128,29.10638,34.7234,37.93617,31,9.553191,52.85107,20.78723,28.25532
2005,3,5.93617,49.25532,7.978724,16.7766,31.89362,27.6383,43.48936,36.04255,7.702127,67.88298,42.40425,43.70213
2006,3,5.989362,33.18085,5.382978,15.74468,17.89362,14.40425,56.46809,36.6383,4.56383,52.98936,42.21276,32.6383
2007,3,8.095745,35.94681,7.691489,15.03191,14.46809,10.21277,41.65957,27.14894,7.436171,33.91489,41.3617,32.48936
2008,3,8.819149,28,2.925532,16.30851,16.59575,21.17021,63.61702,44.80851,5.851064,42.51064,23.3617,35.40425
2009,3,7.797873,48.32979,6.159575,8.542553,7.489362,10.25532,48.31915,57.57447,8.702127,29.28724,66.10638,45.02128
2010,3,8.489362,65.69149,5.574468,20.96808,25.65957,79.46809,41.76596,58,9.319149,35,19.42553,15.40425
2011,3,9.085107,52.69149,11.45745,18.29787,27.48936,43.08511,35.7234,29.80851,9.180851,36.48936,19.93617,29.46808
2012,3,15.73404,52.61702,12.7234,13.94681,36.17021,30.89362,42.10638,28.74468,6.74468,51.79787,13.08511,19.44681
